no,style,series,trimType_,flowCharacter_,flowDirection_,balancing_,rating_c,valveSize,seatBore,travel,coeff,one,two,three,four,five,six,seven,eight,nine,ten
3444,Globe Straight,11,Low Noise Trim A1,Linear,Under,Balanced,ASME 900,6,5.375,3,Fd,1,1,1,1,1,1,1,1,1,1
3445,Globe Straight,11,Low Noise Trim A3,Linear,Under,Balanced,ASME 900,4,3.625,2,Cv,8,20,30,40,52,62,73,82,88.9,88.9
3446,Globe Straight,11,Low Noise Trim A3,Linear,Under,Balanced,ASME 900,4,3.625,2,FL,1,1,1,1,1,1,1,1,1,1
3447,Globe Straight,11,Low Noise Trim A3,Linear,Under,Balanced,ASME 900,4,3.625,2,Xt,0.591,0.531,0.524,0.517,0.513,0.509,0.517,0.527,0.522,0.522
3448,Globe Straight,11,Low Noise Trim A3,Linear,Under,Balanced,ASME 900,4,3.625,2,Fd,1,1,1,1,1,1,1,1,1,1
3449,Globe Straight,11,Low Noise Trim A3,Linear,Under,Balanced,ASME 900,4,3.6,2,Cv,10.3,20.9,31.6,42.8,54.3,66,77.6,88.8,99.3,109
3450,Globe Straight,11,Low Noise Trim A3,Linear,Under,Balanced,ASME 900,4,3.6,2,FL,1,1,1,1,1,1,1,1,1,1
3451,Globe Straight,11,Low Noise Trim A3,Linear,Under,Balanced,ASME 900,4,3.6,2,Xt,0.527,0.554,0.578,0.561,0.559,0.569,0.58,0.61,0.652,0.679
3452,Globe Straight,11,Low Noise Trim A3,Linear,Under,Balanced,ASME 900,4,3.6,2,Fd,1,1,1,1,1,1,1,1,1,1
3453,Globe Straight,11,Low Noise Trim A3,Linear,Under,Balanced,ASME 900,6,5.375,3,Cv,13,30,50,69,87,107,125,143,160,166
3454,Globe Straight,11,Low Noise Trim A3,Linear,Under,Balanced,ASME 900,6,5.375,3,FL,1,1,1,1,1,1,1,1,1,1
